entry_type	archive_path	uncompressed_size	compressed_size	crc32	unix_mode
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/ntt_aarch64_asm.S	136153	12311	7923be76	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/polyvec_basemul_acc_montgomery_cached_k2_aarch64_asm.S	35695	4962	12d6860b	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/polyvec_basemul_acc_montgomery_cached_k3_aarch64_asm.S	49033	6056	be67f94c	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/polyvec_basemul_acc_montgomery_cached_k4_aarch64_asm.S	62284	7031	7f470359	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/poly_mulcache_compute_aarch64_asm.S	15567	2322	2023da4f	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/poly_reduce_aarch64_asm.S	21666	2909	499a1594	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/poly_tobytes_aarch64_asm.S	15694	2181	e60a94e4	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/poly_tomont_aarch64_asm.S	12065	1980	bfada326	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/README.md	1222	618	0ff8dc3b	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/rej_uniform_aarch64_asm.S	13954	3557	d001e087	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/aarch64_opt/src/rej_uniform_table.c	27620	2036	d1ec7ead	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/fips202/	0	0	00000000	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/fips202/aarch64/	0	0	00000000	0
file	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/fips202/aarch64/auto.h	2176	909	58c90e75	0
directory	mlk_scalar_signed_to_unsigned_q_cleanroom/CANON00C_af4c5abd/01_build_workspace/mlkem-native_af4c5abd/dev/fips202/aarch64/src/	0	0	00000000	0
